settlement_norm,total_workers
letavertes,2182
letenye,695
letkes,30
level,234
levelek,462
lickovadamos,5
liget,6
lipot,33
lippo,6
liter,350
litka,6
lokoshaza,75
lokut,6
lonya,24
lorev,5
lorinci,1263
lothard,11
lovas,44
lovasbereny,455
lovaszheteny,7
lovaszi,9
lovaszpatona,27
lovo,105
lovopetri,22
lucfalva,9
ludanyhalaszi,27
ludas,13
lukacshaza,105
lulla,9
mad,216
madaras,230
madocsa,115
maglod,5807
magocs,257
magosliget,13
magy,63
magyaralmas,540
magyaratad,20
magyarbanhegyes,140
magyarboly,15
magyarcsanad,51
magyaregregy,12
magyaregres,26
magyargec,5
magyargencs,12
magyarhomorog,30
magyarkeresztur,7
magyarkeszi,29
magyarlak,16
magyarmecske,15
magyarnandor,66
magyarpolany,84
magyarsarlos,8
magyarszecsod,5
magyarszek,79
magyarszerdahely,13
magyarszombatfa,11
majoshaza,132
majs,38
makad,82
makkoshotyka,20
maklar,317
mako,13888
malomsok,18
malyi,1218
malyinka,18
mandok,572
manfa,28
many,274
marcalgergelyi,7
marcali,4046
marcalto,21
mariahalom,40
mariakalnok,185
mariakemend,6
mariapocs,137
markaz,175
marko,205
markotabodoge,15
marok,15
marokpapi,7
maroslele,157
martely,91
martfu,1494
martonfa,20
martonvasar,1784
mateszalka,7447
matetelke,10
matraballa,54
matraderecske,96
matramindszent,18
matranovak,58
matraszele,26
matraszentimre,59
matraszolos,87
matraterenye,78
matraverebely,73
matyasdomb,50
maza,39
mecseknadasd,186
mecsekpoloske,18
mecser,18
medgyesbodzas,54
medgyesegyhaza,572
medina,15
meggyeskovacsi,12
megyaszo,203
mehkerek,306
mehtelek,13
mekenyes,6
melykut,1135
mencshely,10
mende,1119
mera,76
merk,115
mernye,46
mersevat,32
mesterhaza,5
mesteri,14
mesterszallas,23
mesztegnyo,25
mezobereny,3404
mezocsat,1374
mezocsokonya,21
mezofalva,1023
mezogyan,38
mezohegyes,1070
mezohek,10
mezokeresztes,526
mezokomarom,41
mezokovacshaza,1378
mezokovesd,7015
mezoladany,43
mezolak,49
mezonagymihaly,15
mezonyarad,86
mezoors,28
mezopeterd,14
mezoszemere,6
mezoszentgyorgy,186
mezoszilas,154
mezotarkany,64
mezotur,6879
mezozombor,133
mihald,32
mihalyfa,16
mihalygerge,5
mihalyhaza,8
mihalyi,64
mike,11
mikebuda,32
mikepercs,1455
miklosi,6
mikofalva,12
mikohaza,33
milota,15
mindszent,2059
mindszentgodisa,11
misefa,9
miske,83
miskolc,85486
mocsa,190
mocseny,12
mogyorod,3318
mogyorosbanya,55
moha,38
mohacs,7728
molnari,15
molnaszecsod,6
monok,25
monor,10177
monorierdo,1309
monostorapati,34
monostorpalyi,189
monoszlo,10
monyorod,8
mor,6038
moragy,12
morahalom,2662
moricgat,33
morichida,32
mosonmagyarovar,19613
mosonszentmiklos,298
mosonszolnok,133
mosonudvar,8
mozsgo,22
mucsfa,13
mucsi,7
mucsony,280
muhi,11
murakeresztur,91
muraszemenye,5
murony,57
nabrad,40
nadap,218
nadasd,94
nadasdladany,411
nadudvar,2775
nagocs,15
nagyacsad,22
nagyalasony,17
nagyar,19
nagyatad,3588
nagybajcs,120
nagybajom,398
nagybakonak,5
nagybanhegyes,86
nagybaracska,135
nagybarca,5
nagybereny,70
nagyberki,74
nagyborzsony,33
nagybudmer,5
nagycenk,432
nagycsepely,5
nagycserkesz,129
nagydem,6
nagydobos,93
nagydobsza,21
nagydorog,354
nagyecsed,1343
nagyer,17
nagyesztergar,26
nagyfuged,98
nagygyimot,18
nagyhajmas,7
nagyhalasz,1238
nagyharsany,49
nagyhegyes,567
nagyhodos,8
nagyigmand,491
nagyivan,48
nagykallo,3483
nagykamaras,106
nagykanizsa,22841
nagykapornak,33
nagykaracsony,39
nagykata,5159
nagykereki,19
nagykokenyes,72
nagykonyi,40
nagykoros,12492
nagykorpad,5
nagykoru,87
nagykovacsi,4017
nagykozar,347
nagylengyel,6
nagyloc,52
nagylok,28
nagylozs,47
nagymagocs,369
nagymanyok,234
nagymaros,1634
nagynyarad,20
nagyoroszi,137
nagypali,43
nagypeterd,39
nagypirit,7
nagyrabe,123
nagyrecse,109
nagyrede,533
nagyrev,16
nagyrozvagy,9
nagysap,53
nagysimonyi,20
nagyszakacsi,9
nagyszenas,1131
nagyszentjanos,72
nagyszokoly,36
nagytalya,52
nagytarcsa,3480
nagytevel,14
nagytoke,14
nagyut,13
nagyvarsany,87
nagyvaty,18
nagyvazsony,259
nagyveleg,7
nagyvenyim,1239
nagyvisnyo,13
nak,8
napkor,779
narai,150
narda,29
naszaly,261
negyes,8
nekezseny,22
nemesapati,6
nemesbikk,19
nemesbod,18
nemesbuk,35
nemescso,6
nemesded,11
nemesgorzsony,46
nemesgulacs,61
nemeshany,7
nemesker,5
nemeskocs,14
nemeskolta,12
nemesnadudvar,151
nemesnep,7
