settlement_norm,total_workers
pocsmegyer,706
pocspetri,115
pogany,226
poganyszentpeter,7
pokaszepetk,36
polany,5
polgar,2219
polgardi,5036
poloske,17
poloskefo,14
pomaz,8890
porboly,20
porcsalma,227
pornoapati,5
poroszlo,371
porrog,10
porrogszentpal,5
porva,17
potony,5
potrete,7
prugy,157
puski,10
puspokhatvan,124
puspokladany,5605
puspokmolnari,14
puspokszilagy,10
pusztacso,6
pusztadobos,43
pusztafoldvar,76
pusztahencse,24
pusztakovacsi,21
pusztamagyarod,11
pusztamerges,54
pusztamiske,5
pusztamonostor,84
pusztaszabolcs,1303
pusztaszemes,19
pusztaszentlaszlo,12
pusztaszer,139
pusztavacs,54
pusztavam,263
pusztazamor,101
putnok,1618
rabacsanak,22
rabacsecseny,22
rabagyarmat,26
rabahidveg,37
rabakecol,12
rabapatona,490
rabapaty,155
rabapordany,35
rabaszentandras,17
rabaszentmihaly,32
rabatamasi,33
rabatottos,6
rabcakapi,8
racalmas,1493
rackeresztur,586
rackeve,3952
rad,248
radostyan,10
rajka,958
rakaca,13
rakamaz,1117
rakoczifalva,1190
rakocziujfalu,98
raksi,11
ramocsahaza,53
rapolt,9
raposka,13
ratka,56
ravazd,67
recsk,227
rede,98
redics,30
regoly,62
rem,40
remeteszolos,206
repashuta,13
repcelak,316
repceszemere,6
repcevis,12
retalap,15
retkozberencs,13
retsag,436
revfulop,161
revleanyvar,8
rezi,106
ricse,110
rigyac,9
rimoc,114
rinyabesenyo,7
rohod,34
rojtokmuzsaj,10
romand,7
romhany,143
romonya,86
roszke,680
rozsafa,12
rozsaly,39
rozsaszentmarton,157
rudabanya,138
rudolftelep,16
rum,36
ruzsa,373
sagujfalu,5
sagvar,212
sajobabony,182
sajoecseg,36
sajoivanka,53
sajokaza,219
sajokeresztur,75
sajolad,318
sajooros,82
sajopalfala,11
sajopetri,47
sajoszentpeter,3307
sajoszoged,199
sajovamos,154
sajovelezd,9
sajtoskal,5
salgotarjan,15730
salkoveskut,6
saly,58
samod,5
samsonhaza,9
sand,24
sandorfalva,2814
santos,16
sap,6
sarand,170
sarbogard,4251
saregres,39
sarhida,8
sarisap,370
sarkad,2806
sarkadkeresztur,56
sarkeresztes,165
sarkeresztur,170
sarkeszi,30
sarmellek,189
sarosd,338
sarospatak,3656
sarretudvari,330
sarrod,45
sarszentagota,59
sarszentlorinc,27
sarszentmihaly,644
sarud,6
sarvar,6306
sasd,579
saska,18
sata,11
satoraljaujhely,5173
satorhely,8
savoly,7
se,168
segesd,134
sellye,323
semjenhaza,11
senye,16
senyo,69
seregelyes,1074
serenyfalva,7
siklos,3128
siklosnagyfalu,6
simasag,6
simonfa,5
simontornya,592
sioagard,113
siofok,14993
siojut,33
sirok,142
sitke,28
sobor,6
sojtor,79
sokoropatka,47
solt,1716
soltszentimre,75
soltvadkert,3207
soly,29
solymar,4802
som,12
somberek,64
somloszolos,16
somlovasarhely,57
somodor,6
somogyacsa,6
somogyapati,12
somogyaszalo,29
somogybabod,19
somogybukkosd,5
somogyhatvan,7
somogyjad,90
somogymeggyes,13
somogysamson,12
somogysard,46
somogysimonyi,5
somogyszentpal,16
somogyszil,24
somogyszob,55
somogytur,37
somogyudvarhely,24
somogyvamos,24
somogyvar,84
somogyzsitfa,6
somoskoujfalu,293
sonkad,22
soponya,121
sopron,31932
sopronhorpacs,29
sopronkovesd,115
sopronnemeti,16
sopte,27
sored,6
sorkifalud,25
sormas,57
sorokpolany,15
soskut,1026
sostofalva,8
sotony,6
sukoro,423
sukosd,578
sulysap,2687
sumeg,1555
sumegcsehi,15
sumegpraga,14
sur,42
surd,81
sutto,211
szabadbattyan,1343
szabadegyhaza,163
szabadhidveg,14
szabadkigyos,215
szabadszallas,1626
szabadszentkiraly,29
szabas,8
szabolcs,7
szabolcsbaka,24
szabolcsveresmart,56
szada,2479
szajk,71
szajol,592
szakald,12
szakaly,54
szakcs,52
szakmar,89
szakoly,232
szakony,10
szakszend,60
szalafo,9
szalanta,45
szalatnak,5
szalka,44
szalkszentmarton,403
szalonna,6
szamosbecs,12
szamosker,17
szamossalyi,6
szamosszeg,105
szamosujlak,24
szanda,13
szank,289
szantod,73
szany,242
szapar,6
szar,154
szarfold,58
szarliget,321
szarvas,7213
szarvasgede,5
szarvaskend,10
szarvasko,19
szaszberek,55
szaszvar,175
szatmarcseke,66
szatymaz,1583
szava,11
szazhalombatta,8123
szebeny,5
szecsenke,5
szecseny,1450
szecsenyfelfalu,6
szederkeny,200
szedres,114
szeged,98702
szegerdo,7
szeghalom,2806
szegi,5
szegvar,936
szekely,23
szekelyszabar,11
szekesfehervar,61816
szekkutas,172
szekszard,18284
szeleste,16
szeleveny,22
szemely,11
szemenye,5
szendehely,235
szendro,748
szendrolad,100
szenna,59
szentantalfa,83
szentdenes,7
szentdomonkos,18
szentendre,18327
szentes,14938
szentgal,421
szentgalosker,12
szentgotthard,2556
szentgyorgyvar,9
szentgyorgyvolgy,6
szentistvan,207
szentistvanbaksa,5
szentjakabfa,7
szentkiraly,275
szentkiralyszabadja,260
szentlaszlo,35
szentliszlo,5
szentlorinc,1626
szentlorinckata,226
szentmartonkata,1098
szentpeterfa,47
szentpeterszeg,45
szentpeterur,15
szepetnek,67
szerecseny,13
szeremle,86
szerencs,2871
szerep,51
szergeny,8
szigetbecse,132
szigetcsep,391
szigethalom,7757
szigetmonostor,621
szigetszentmarton,555
szigetszentmiklos,23355
szigetujfalu,297
szigetvar,3243
szigliget,103
szihalom,129
szikszo,1428
szil,134
szilsarkany,28
szilvasvarad,267
szirak,29
szirmabesenyo,1168
szob,334
szoce,7
szod,676
szodliget,1590
szogliget,5
szoked,5
szokolya,246
szolad,30
szolnok,37961
szolosgyorok,51
szombathely,53185
szomod,299
szomolya,78
szomor,37
szorgalmatos,33
szucsi,343
szugy,107
szuha,8
szuhakallo,6
szuhogy,8
szulok,37
szur,5
szurdokpuspoki,148
tab,1016
tabajd,58
tabdi,73
taborfalva,418
tac,129
tagyon,12
tahitotfalu,2459
takacsi,40
takos,12
taksony,2595
taktabaj,14
taktaharkany,427
taktakenez,16
taktaszada,72
taliandorogd,12
tallya,137
tamasi,2772
tanakajd,68
tap,16
tapiobicske,550
tapiogyorgye,461
tapiosag,404
tapioszecso,1586
tapioszele,1252
tapioszentmarton,1277
tapioszolos,398
taplanszentkereszt,276
tapolca,6062
tapszentmiklos,569
tar,132
tarany,26
tarcal,329
tard,23
tardona,60
tardos,211
tarhos,15
tarjan,534
tarjanpuszta,12
tarkany,44
tarnabod,35
tarnalelesz,85
tarnamera,139
tarnaors,90
tarnaszentmiklos,9
tarnazsadany,7
tarnok,3653
tarpa,205
taska,32
tass,427
taszar,142
tat,1414
tata,13451
tatabanya,33318
tatahaza,41
tatarszentgyorgy,101
tazlar,238
teglas,1877
tekenye,19
teklafalu,5
telekes,7
telekgerendas,76
telki,1663
telkibanya,32
tengelic,118
tengeri,5
tengod,6
tenk,49
tenyo,400
tepe,83
terem,10
tes,34
tesa,494
teskand,137
tet,1007
tetetlen,60
tevel,88
tibolddaroc,53
tiborszallas,32
tihany,285
tilaj,5
timar,39
tinnye,246
tiszaadony,11
tiszaalpar,1072
tiszabecs,64
tiszabercel,106
tiszabezded,89
tiszabo,131
tiszabura,281
tiszacsege,873
tiszadada,162
tiszaderzs,18
tiszadob,272
tiszadorogma,8
tiszaeszlar,186
tiszafoldvar,2713
tiszafured,3422
tiszagyenda,34
tiszagyulahaza,7
tiszaigar,25
tiszainoka,6
tiszajeno,93
tiszakanyar,68
tiszakarad,88
tiszakecske,4516
tiszakerecseny,44
tiszakeszi,190
tiszakorod,13
tiszakurt,40
tiszaladany,8
tiszalok,1164
tiszaluc,887
tiszamogyoros,21
tiszanagyfalu,119
tiszanana,160
tiszaors,63
tiszapalkonya,53
tiszapuspoki,99
tiszarad,5
tiszaroff,120
tiszasas,50
tiszasuly,54
tiszaszalka,15
tiszaszentimre,108
tiszaszentmarton,22
tiszasziget,156
tiszaszolos,40
tiszatardos,6
tiszatarjan,30
tiszatelek,61
tiszatenyo,55
tiszaug,41
tiszaujvaros,5161
tiszavarkony,91
tiszavasvari,4348
tiszavid,10
tisztaberek,10
tivadar,6
toalmas,917
tofalu,11
tofej,12
tok,135
tokaj,940
tokod,901
tokodaltaro,373
tokol,3811
tokorcs,6
tolcsva,131
tolmacs,16
tolna,3177
tolnanemedi,27
toltestava,412
tomajmonostora,53
tomord,21
tomorkeny,123
tompa,927
tordas,374
tornyiszentmiklos,6
tornyospalca,186
torokbalint,8204
torokkoppany,7
torokszentmiklos,7014
torony,224
tortel,927
toszeg,1018
totkomlos,1287
totszentgyorgy,5
totszentmarton,23
totszerdahely,48
tottos,28
totvazsony,120
tunyogmatolcs,218
tura,2272
turistvandi,11
turje,66
turkeve,2369
turony,13
turricse,11
tuskevar,59
tuzser,279
tyukod,94
ugod,48
ujbarok,29
ujcsanalos,14
ujdombrad,16
ujfeherto,4990
ujhartyan,536
ujiraz,13
ujireg,6
ujkenez,39
ujker,39
ujkigyos,1140
ujlengyel,17848
ujleta,89
ujpetre,43
ujronafo,12
ujsolt,60
ujszasz,1237
ujszentivan,273
ujszentmargita,32
ujszilvas,243
ujtelek,17
ujtikos,18
ujudvar,38
ulles,548
ullo,4818
und,213
uny,28
uppony,13
ura,12
uraiujfalu,16
urhida,554
uri,264
urkut,160
urom,3438
uszod,42
uzsa,5
vac,18188
vacduka,251
vacegres,44
vachartyan,141
vackisujfalu,34
vacratot,347
vacszentlaszlo,216
vadna,14
vag,6
vaja,367
vajdacska,39
vajszlo,172
vajta,31
val,374
valko,246
vallaj,45
vallus,8
vamosatya,23
vamosgyork,119
vamosmikola,70
vamosoroszi,5
vamospercs,1186
vamosszabadi,579
vamosujfalu,13
vancsod,47
vanyarc,32
varalja,14
varaszo,6
varbalog,14
varbo,16
vardomb,76
vargesztes,24
varosfold,179
varoslod,76
varpalota,8296
varsany,53
varvolgy,56
vasad,264
vasalja,8
vasarosdombo,38
vasarosfalu,7
vasarosmiske,33
vasarosnameny,2765
vasboldogasszony,8
vaskeresztes,6
vaskut,445
vasmegyer,94
vaspor,7
vassurany,17
vasszecseny,84
vasszilvagy,9
vasvar,1179
vaszar,122
vaszoly,25
vat,16
vecs,7
vecses,13973
vegegyhaza,29
velence,2582
vemend,54
vep,517
vereb,34
veresegyhaz,10953
veroce,1224
verpelet,546
verseg,28
versend,24
vertesacsa,112
vertesboglar,32
verteskethely,5
vertessomlo,71
vertesszolos,845
vertestolna,28
vese,29
veszkeny,61
veszprem,39043
veszpremfajsz,14
veszpremgalsa,5
veszpremvarsany,43
veszto,1368
vezseny,5
villany,522
vilmany,21
vilonya,13
vindornyaszolos,14
visegrad,270
visnye,17
visonta,46
visz,5
viszak,35
visznek,49
vitnyed,130
vizslas,106
vizsoly,8
vizvar,9
vokany,25
volcsej,18
vonock,18
vonyarcvashegy,558
zabar,6
zagyvarekas,488
zagyvaszanto,197
zahony,631
zajta,8
zakany,36
zakanyfalu,28
zakanyszek,668
zala,6
zalaapati,166
zalabaksa,5
zalaber,18
zalaboldogfa,8
zalacsany,27
zalaegerszeg,28192
zalagyomoro,7
zalahalap,110
zalahashagy,9
zalakaros,592
zalakomar,252
zalalovo,343
zalaszabar,18
zalaszanto,74
zalaszentbalazs,20
zalaszentgrot,1567
zalaszentgyorgy,11
zalaszentivan,66
zalaszentjakab,11
zalaszentlaszlo,56
zalaszentlorinc,5
zalaszentmihaly,30
zalata,7
zalatarnok,24
zalavar,34
zalkod,7
zamardi,669
zamoly,172
zanka,186
zarank,8
zavod,23
zebegeny,227
zengovarkony,13
zichyujfalu,22
zics,6
zimany,6
zirc,2382
zomba,308
zsadany,70
zsaka,104
zsambek,1716
zsambok,243
zsana,114
zsarolyan,8
zsedeny,5
zselickislak,6
zselicszentpal,10
zsira,29
zsombo,791
zsurk,19
zubogy,13
