gender|age_group|education|teaor_name|county|count|teaor_code
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Humán-egészségügyi, szociális ellátás|Budapest|40|Q
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Művészet, szórakoztatás, szabad idő|Budapest|25|R
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Egyéb szolgáltatás|Budapest|51|S
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Háztartás munkaadói tevékenysége; termék előállítása, szolgáltatás végzése saját fogyasztásra|Budapest|1|T
Férfi|20–24 éves|Érettségi|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|65|A
Férfi|20–24 éves|Érettségi|Bányászat, kőfejtés|Budapest|9|B
Férfi|20–24 éves|Érettségi|Feldolgozóipar|Budapest|1463|C
Férfi|20–24 éves|Érettségi|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|114|D
Férfi|20–24 éves|Érettségi|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|43|E
Férfi|20–24 éves|Érettségi|Építőipar|Budapest|984|F
Férfi|20–24 éves|Érettségi|Kereskedelem, gépjárműjavítás|Budapest|2615|G
Férfi|20–24 éves|Érettségi|Szállítás, raktározás|Budapest|1605|H
Férfi|20–24 éves|Érettségi|Szálláshely-szolgáltatás, vendéglátás|Budapest|1751|I
Férfi|20–24 éves|Érettségi|Információ, kommunikáció|Budapest|1738|J
Férfi|20–24 éves|Érettségi|Pénzügyi, biztosítási tevékenység|Budapest|568|K
Férfi|20–24 éves|Érettségi|Ingatlanügyletek|Budapest|160|L
Férfi|20–24 éves|Érettségi|Szakmai, tudományos, műszaki tevékenység|Budapest|1054|M
Férfi|20–24 éves|Érettségi|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|1547|N
Férfi|20–24 éves|Érettségi|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|927|O
Férfi|20–24 éves|Érettségi|Oktatás|Budapest|389|P
Férfi|20–24 éves|Érettségi|Humán-egészségügyi, szociális ellátás|Budapest|277|Q
Férfi|20–24 éves|Érettségi|Művészet, szórakoztatás, szabad idő|Budapest|698|R
Férfi|20–24 éves|Érettségi|Egyéb szolgáltatás|Budapest|362|S
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|18|A
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Bányászat, kőfejtés|Budapest|10|B
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Feldolgozóipar|Budapest|643|C
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|63|D
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|9|E
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Építőipar|Budapest|128|F
